City_ID,city_id,city_name,latitude,longitude,temp,humidity,cloudiness,wind_speed,country,date
123,3464724,Brae,60.4,-1.35,39.2,86,85,17.22,GB,1609466697
124,3464724,Isangel,-19.55,169.27,82.08,76,100,13.47,VU,1609466456
125,3464724,Agüimes,27.91,-15.45,64.4,52,75,12.75,ES,1609466697
126,3464724,Hasaki,35.73,140.83,46.0,41,20,8.05,JP,1609466435
127,3464724,Butaritari,3.07,172.79,81.07,77,94,17.87,KI,1609466698
128,3464724,Tālbahat,25.05,78.43,49.26,51,0,3.49,IN,1609466698
129,3464724,Erciş,39.03,43.36,19.4,85,0,5.82,TR,1609466699
130,3464724,Alekseyevsk,57.84,108.35,-30.69,82,100,2.53,RU,1609466699
131,3464724,Forsytheganj,52.63,29.73,36.64,96,100,10.49,BY,1609466699
132,3464724,Bukachacha,52.98,116.92,-13.76,77,0,2.75,RU,1609466699
133,3464724,Iqaluit,63.75,-68.51,-7.6,63,20,2.24,CA,1609466699
134,3464724,Luganville,-15.53,167.17,86.0,74,75,8.05,VU,1609466699
135,3464724,Novaya Ladoga,60.1,32.3,32.0,99,95,5.82,RU,1609466699
136,3464724,Ayan,56.45,138.17,-11.94,75,100,15.39,RU,1609466427
137,3464724,Tasiilaq,65.61,-37.64,30.2,92,100,39.15,GL,1609466700
138,3464724,Qaanaaq,77.48,-69.36,17.44,93,100,7.27,GL,1609466447
139,3464724,Rodrigues Alves,-7.74,-72.65,73.45,95,100,1.19,BR,1609466700
140,3464724,Lagoa,39.05,-27.98,59.2,76,100,15.32,PT,1609466700
141,3464724,Vaini,-21.2,-175.2,84.2,74,75,10.29,TO,1609466457
142,3464724,Cidreira,-30.18,-50.21,67.95,69,0,7.2,BR,1609466700
143,3464724,Khovd,48.01,91.64,-6.21,75,0,1.72,MN,1609466701
144,3464724,Maple Creek,49.92,-109.48,24.8,85,0,1.12,CA,1609466701
145,3464724,Sokoto,13.06,5.24,70.5,22,2,6.6,NG,1609466701
146,3464724,Cabo San Lucas,22.89,-109.91,64.4,42,5,10.29,MX,1609466702
147,3464724,Chegdomyn,51.12,133.02,-24.75,79,2,0.98,RU,1609466427
148,3464724,Sitka,57.05,-135.33,39.2,80,90,8.05,US,1609466624
149,3464724,Chippewa Falls,44.94,-91.39,19.99,79,90,8.05,US,1609466702
150,3464724,Aklavik,68.22,-135.01,-11.2,83,73,1.12,CA,1609466703
151,3464724,Mīnāb,27.15,57.08,46.4,45,0,2.24,IR,1609466432
152,3464724,Port Moresby,-9.44,147.18,83.46,69,100,2.86,PG,1609466703
153,3464724,Hornepayne,49.21,-84.77,20.86,97,86,9.08,CA,1609466703
154,3464724,Crato,-7.23,-39.41,76.51,64,89,5.88,BR,1609466703
155,3464724,Clyde River,70.47,-68.59,-2.2,77,1,8.05,CA,1609466704
156,3464724,Beringovskiy,63.05,179.32,3.6,92,100,17.07,RU,1609466704
157,3464724,Tura,25.52,90.22,60.53,64,30,3.06,IN,1609466704
158,3464724,Kayes,14.0,-11.0,76.41,24,0,1.21,ML,1609466704
159,3464724,Lebu,-37.62,-73.65,57.2,76,100,20.58,CL,1609466704
160,3464724,Mitchell,43.71,-98.03,15.8,85,1,4.7,US,1609466704
161,3464724,Leh,34.17,77.58,2.21,54,98,1.07,IN,1609466704
162,3464724,Castro,-24.79,-50.01,61.99,94,100,3.65,BR,1609466705
163,3464724,Dikson,73.51,80.55,-11.85,87,100,15.95,RU,1609466705
164,3464724,Ushtobe,45.25,77.98,12.96,95,100,5.64,KZ,1609466705
165,3464724,Hofn,64.25,-15.21,29.28,86,0,6.2,IS,1609466705
166,3464724,Flin Flon,54.77,-101.86,1.69,93,0,3.09,CA,1609466705
167,3464724,Lüderitz,-26.65,15.16,64.4,68,18,19.46,NA,1609466705
168,3464724,Berlevåg,70.86,29.09,27.84,94,14,9.57,NO,1609466706
169,3464724,São Joaquim,-28.29,-49.93,56.61,100,71,2.71,BR,1609466706
170,3464724,Kyshtovka,56.55,76.63,-12.19,89,89,4.85,RU,1609466426
171,3464724,Guerrero Negro,27.98,-114.06,58.19,73,0,11.27,MX,1609466706
172,3464724,Niamey,13.51,2.11,73.4,20,0,3.36,NE,1609466706
173,3464724,Praia,14.92,-23.51,71.6,83,0,18.34,CV,1609466706
174,3464724,Ouango,4.31,22.56,69.4,71,99,2.8,CF,1609466706
175,3464724,Kota Belud,6.35,116.43,82.4,78,20,2.24,MY,1609466707
176,3464724,Ligayan,4.65,119.47,81.91,77,100,6.08,PH,1609466707
177,3464724,Ballina,-28.87,153.57,80.6,74,40,14.99,AU,1609466707
178,3464724,Hamilton,39.18,-84.53,32.0,86,90,11.41,US,1609466707
179,3464724,São Filipe,14.9,-24.5,73.92,77,0,6.67,CV,1609466707
180,3464724,Ames,42.03,-93.62,17.01,85,1,5.82,US,1609466707
181,3464724,Chitipa,-9.7,33.27,64.17,89,100,1.12,MW,1609466708
182,3464724,Beyneu,45.32,55.2,27.34,86,0,13.98,KZ,1609466429
183,3464724,Bida,9.08,6.02,75.0,28,37,3.71,NG,1609466708
184,3464724,Nome,64.5,-165.41,25.0,85,90,13.87,US,1609466708
185,3464724,Puerto del Rosario,28.5,-13.86,62.6,63,0,10.29,ES,1609466669
186,3464724,Torbay,47.67,-52.73,39.0,100,90,33.33,CA,1609466708
187,3464724,Narsaq,60.92,-46.05,32.0,98,96,2.51,GL,1609466708
188,3464724,Constitución,-35.33,-72.42,59.86,70,99,12.39,CL,1609466709
189,3464724,Souillac,-20.52,57.52,77.0,69,40,14.99,MU,1609466709
190,3464724,Bathsheba,13.22,-59.52,78.8,74,20,18.34,BB,1609466709
191,3464724,Port Macquarie,-31.43,152.92,75.99,80,86,1.99,AU,1609466709
192,3464724,Phalombe,-15.81,35.65,68.83,93,100,2.39,MW,1609466709
193,3464724,Red Wing,44.56,-92.53,19.4,85,40,8.05,US,1609466710
194,3464724,Bonavista,48.65,-53.11,35.6,100,100,5.82,CA,1609466710
195,3464724,Cockburn Town,21.46,-71.14,78.15,75,1,25.37,TC,1609466710
196,3464724,Kudahuvadhoo,2.67,72.89,82.31,73,100,5.97,MV,1609466710
197,3464724,Nikolskoye,59.7,30.79,34.0,99,90,2.24,RU,1609466710
198,3464724,Ponta do Sol,32.67,-17.1,59.0,72,75,9.17,PT,1609466710
199,3464724,Taksimo,56.34,114.88,-20.76,78,23,1.25,RU,1609466710
200,3464724,Chato,-2.64,31.77,64.33,89,99,3.29,TZ,1609466711
201,3464724,Hulyaypole,47.67,36.26,35.02,87,100,9.28,UA,1609466711
202,3464724,Yulara,-25.24,130.99,93.2,9,0,11.41,AU,1609466458
203,3464724,Rio Grande,-32.03,-52.1,61.0,84,0,8.37,BR,1609466711
204,3464724,Half Moon Bay,37.46,-122.43,54.0,87,1,3.36,US,1609466711
205,3464724,Fort Nelson,58.81,-122.7,14.0,85,75,3.36,CA,1609466451
206,3464724,Sept-Îles,50.2,-66.38,19.99,67,0,12.75,CA,1609466712
207,3464724,Mattru,7.62,-11.83,73.62,94,0,0.78,SL,1609466712
208,3464724,Kieta,-6.22,155.63,86.5,56,100,4.85,PG,1609466712
209,3464724,Ust'-Kut,56.79,105.77,-28.7,81,78,0.85,RU,1609466712
210,3464724,Tranås,58.04,14.98,33.8,90,100,4.7,SE,1609466712
211,3464724,Ilulissat,69.22,-51.1,26.6,79,100,13.87,GL,1609466414
212,3464724,Provideniya,64.38,-173.3,25.45,97,100,8.61,RU,1609466424
213,3464724,Namatanai,-3.67,152.43,85.64,66,92,8.25,PG,1609466713
214,3464724,Ahipara,-35.17,173.17,69.55,79,100,6.44,NZ,1609466713
215,3464724,Kefamenanu,-9.45,124.48,86.56,58,36,1.61,ID,1609466713
216,3464724,Praia da Vitória,38.73,-27.07,57.2,82,20,14.32,PT,1609466713
217,3464724,Gobabis,-22.45,18.97,68.0,82,100,3.36,NA,1609466713
218,3464724,Ryōtsu-minato,38.08,138.43,35.6,74,75,20.8,JP,1609466658
